127.0.0.1 - - [28/Oct/2017:15:28:46 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:28:46 +0530] "GET /LoginForm/ HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:28:46 +0530] "GET /LoginForm/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:28:46 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:28:58 +0530] "POST /LoginForm/LoginPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:28:58 +0530] "GET /LoginForm/homepage HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:29:00 +0530] "POST /LoginForm/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:29:00 +0530] "GET /LoginForm/login HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:29:01 +0530] "GET /LoginForm/signup HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:29:01 +0530] "GET /LoginForm/js/Validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:29:05 +0530] "GET /LoginForm/login HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:31:24 +0530] "GET /LoginForm/login HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:31:24 +0530] "GET /LoginForm/css/form.css HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:31:30 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:31:33 +0530] "GET /LoginForm/signup HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:31:33 +0530] "GET /LoginForm/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:31:35 +0530] "GET /LoginForm/login HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:31:35 +0530] "GET /LoginForm/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:31:37 +0530] "GET /LoginForm/signup HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:31:37 +0530] "GET /LoginForm/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:33:17 +0530] "GET /LoginForm/signup HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:33:17 +0530] "GET /LoginForm/css/form.css HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:33:17 +0530] "GET /LoginForm/js/Validation.js HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:35:25 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:36:39 +0530] "GET /LoginForm/signup HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:36:39 +0530] "GET /LoginForm/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:38:13 +0530] "POST /LoginForm/SignupPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:38:13 +0530] "GET /LoginForm/signup HTTP/1.1" 200 2599
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:38:13 +0530] "GET /LoginForm/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:39:08 +0530] "GET /LoginForm/login HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [28/Oct/2017:15:39:08 +0530] "GET /LoginForm/css/form.css HTTP/1.1" 304 -
